 ** OS Runtime Summary (osrt_sum):

 Time (%)  Total Time (ns)  Num Calls     Avg (ns)         Med (ns)       Min (ns)      Max (ns)       StdDev (ns)             Name         
 --------  ---------------  ---------  ---------------  ---------------  -----------  -------------  ---------------  ----------------------
     88.5   46,983,784,571         30  1,566,126,152.4  1,560,264,131.5        1,955  3,135,301,422  1,592,884,233.3  futex                 
      5.3    2,796,269,032        972      2,876,820.0        214,032.5        2,863    100,169,760     13,330,459.2  poll                  
      4.7    2,500,383,635          5    500,076,727.0    500,076,386.0  500,070,653    500,081,241          4,105.8  pthread_cond_timedwait
      0.7      398,103,650      1,776        224,157.5         19,587.5        1,396     79,623,709      2,513,185.1  ioctl                 
      0.7      349,921,214        310      1,128,778.1        282,606.5       15,922     17,280,974      2,505,246.0  sem_wait              
      0.1       36,861,114        690         53,421.9          2,374.0        1,396      3,334,290        275,884.5  read                  
      0.0        6,005,843      4,176          1,438.2          1,397.0        1,326          8,939            163.7  pthread_cond_signal   
      0.0        3,975,700         14        283,978.6         13,721.5        1,396      2,110,230        574,678.0  pthread_join          
      0.0        3,041,138         60         50,685.6          8,589.0        4,748      1,814,488        233,579.4  mmap64                
      0.0        2,190,666         18        121,703.7         51,989.0       30,516      1,135,033        255,641.8  pthread_create        
      0.0        1,706,666        216          7,901.2          7,262.0        4,818         34,077          2,999.1  open64                
      0.0        1,383,073         92         15,033.4          7,542.0        3,352        341,545         36,859.5  mmap                  
      0.0        1,248,022        321          3,887.9          3,352.0        1,396         20,181          2,019.4  write                 
      0.0        1,188,866        120          9,907.2          8,519.0        5,796         27,654          3,999.0  munmap                
      0.0          897,536         10         89,753.6         27,967.0       16,131        632,738        191,205.1  sem_timedwait         
      0.0          585,818        348          1,683.4          1,397.0        1,326         74,370          3,936.8  fgets                 
      0.0          302,862        206          1,470.2          1,397.0        1,396          2,933            190.9  pthread_mutex_trylock 
      0.0          245,662         39          6,299.0          5,167.0        3,212         19,134          3,250.4  fopen                 
      0.0          114,452         35          3,270.1          2,933.0        1,885          8,171          1,257.8  fclose                
      0.0           96,370         54          1,784.6          1,885.0        1,396          4,818            517.2  fcntl                 
      0.0           71,092         48          1,481.1          1,466.0        1,396          2,374            175.3  sigaction             
