 ** OS Runtime Summary (osrt_sum):

 Time (%)  Total Time (ns)  Num Calls    Avg (ns)       Med (ns)      Min (ns)     Max (ns)    StdDev (ns)            Name         
 --------  ---------------  ---------  -------------  -------------  -----------  -----------  ------------  ----------------------
     46.0    2,703,169,898         38   71,136,049.9  100,120,985.5        7,262  100,138,040  42,616,440.8  poll                  
     42.6    2,500,891,019          5  500,178,203.8  500,080,824.0  500,071,711  500,357,504     142,669.0  pthread_cond_timedwait
      7.5      438,416,504      4,386       99,958.2        3,282.0        1,396   10,555,301     403,791.7  read                  
      2.4      140,312,298     97,012        1,446.3        1,397.0        1,326      123,318         507.8  pthread_cond_signal   
      1.0       56,373,327        732       77,012.7       13,931.5        1,816   11,996,714     638,688.1  ioctl                 
      0.2       12,660,369      1,980        6,394.1        6,075.0        4,190       21,926       1,734.6  open64                
      0.1        5,089,697          1    5,089,697.0    5,089,697.0    5,089,697    5,089,697           0.0  nanosleep             
      0.1        4,833,018        324       14,916.7        6,215.0        4,259    1,823,657     101,757.6  mmap64                
      0.0        2,050,936      1,407        1,457.7        1,397.0        1,326       14,874         446.0  pthread_cond_broadcast
      0.0        1,594,185        649        2,456.4        1,397.0        1,327       75,764       6,882.3  fgets                 
      0.0        1,119,010         17       65,824.1       63,265.0       60,472       78,767       5,713.3  sleep                 
      0.0          758,695         66       11,495.4        5,307.0        2,863      326,310      39,682.1  fopen                 
      0.0          724,263         39       18,570.8       10,125.0        4,818      116,754      25,494.2  mmap                  
      0.0          616,310         10       61,631.0       55,618.5       28,629      118,360      25,191.5  pthread_create        
      0.0          583,913         10       58,391.3       28,874.5       18,365      302,081      86,866.7  sem_timedwait         
      0.0          339,371          4       84,842.8       96,539.0       30,935      115,358      37,862.2  pthread_rwlock_wrlock 
      0.0          301,452          2      150,726.0      150,726.0       21,507      279,945     182,743.3  pthread_mutex_lock    
      0.0          254,609        163        1,562.0        1,397.0        1,326        3,352         331.8  fflush                
      0.0          248,863        170        1,463.9        1,431.5        1,396        2,444         158.8  pthread_mutex_trylock 
      0.0          211,163         17       12,421.4        9,078.0        5,656       42,317      10,226.7  munmap                
      0.0          186,656         62        3,010.6        2,863.0        2,374        6,145         549.4  fclose                
      0.0          105,857         60        1,764.3        1,885.0        1,396        2,374         282.1  fcntl                 
      0.0           94,619         15        6,307.9        5,796.0        4,190       12,151       2,198.1  open                  
      0.0           78,064         52        1,501.2        1,397.0        1,396        2,863         261.8  sigaction             
      0.0           48,951         14        3,496.5        3,107.5        1,885        7,541       1,554.3  write                 
      0.0           28,769          5        5,753.8        5,097.0        3,771       10,055       2,468.0  fopen64               
      0.0           27,861          3        9,287.0        6,633.0        4,888       16,340       6,170.1  fread                 
      0.0           20,600          2       10,300.0       10,300.0        5,168       15,432       7,257.7  socket                
      0.0           18,507         13        1,423.6        1,397.0        1,396        1,467          35.2  flockfile             
      0.0           15,709         10        1,570.9        1,466.0        1,396        1,955         235.6  dup                   
      0.0           12,779          1       12,779.0       12,779.0       12,779       12,779           0.0  connect               
      0.0            9,985          1        9,985.0        9,985.0        9,985        9,985           0.0  pipe2                 
      0.0            3,421          1        3,421.0        3,421.0        3,421        3,421           0.0  bind                  
      0.0            1,955          1        1,955.0        1,955.0        1,955        1,955           0.0  listen                

Processing [reports/pytorch_infer_profile.sqlite] with [/opt/nvidia/nsight-systems/2024.4.1/host-linux-x64/reports/cuda_api_sum.py]... 

 ** CUDA API Summary (cuda_api_sum):

 Time (%)  Total Time (ns)  Num Calls   Avg (ns)     Med (ns)    Min (ns)    Max (ns)   StdDev (ns)              Name            
 --------  ---------------  ---------  -----------  -----------  ---------  ----------  -----------  ----------------------------
     69.3      248,386,996     21,890     11,347.1      6,215.0      2,863  33,450,736    301,302.6  cudaLaunchKernel            
      8.5       30,591,989     11,660      2,623.7      2,375.0        978     122,620      1,381.2  cudaEventRecord             
      5.3       19,031,724     11,696      1,627.2      1,466.0        907      32,959        492.3  cudaStreamIsCapturing_v10000
      3.9       13,863,319        321     43,187.9      5,796.0      4,329   1,280,247    166,039.1  cudaMemcpyAsync             
      2.6        9,297,758        321     28,965.0      4,818.0      3,352     528,886     64,638.1  cudaStreamSynchronize       
      2.3        8,171,906      1,211      6,748.1      6,285.0      4,189      32,470      1,565.8  cudaMemsetAsync             
      2.0        7,030,764      1,430      4,916.6      4,748.0      2,863      16,270      1,234.9  cudaLaunchKernelExC_v11060  
      1.9        6,888,120         32    215,253.8     43,294.0     28,421   4,773,333    834,854.5  cuLibraryUnload             
      1.7        6,137,561          4  1,534,390.3    473,581.0      1,955   5,188,444  2,476,160.9  cudaFree                    
      1.3        4,709,140         43    109,514.9     93,990.0      4,330     230,575     50,289.1  cudaMalloc                  
      0.6        2,126,560      1,532      1,388.1      1,397.0        838      10,963        377.2  cuGetProcAddress_v2         
      0.3        1,147,640         16     71,727.5      5,726.0      5,307     938,992    233,276.9  cudaStreamCreateWithFlags   
      0.3        1,144,918          1  1,144,918.0  1,144,918.0  1,144,918   1,144,918          0.0  cudaHostAlloc               
      0.0           78,897         37      2,132.4      1,885.0      1,396      10,893      1,717.6  cudaEventCreateWithFlags    
      0.0           11,593          5      2,318.6      1,885.0        978       5,377      1,750.1  cuModuleGetLoadingMode      
      0.0           10,405          4      2,601.3      2,618.5      1,816       3,352        658.4  cuInit                      

Processing [reports/pytorch_infer_profile.sqlite] with [/opt/nvidia/nsight-systems/2024.4.1/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)  Med (ns)  Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  --------  --------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     21.3       56,389,590      1,430  39,433.3  36,249.0    34,298    58,357      6,628.1  sm86_xmma_fprop_implicit_gemm_indexed_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize64x32x64_stage4_war…
     12.7       33,444,643      2,860  11,693.9   5,343.0     2,143    54,454     15,625.0  void cudnn::ops::nchwToNhwcKernel<float, float, float, (bool)0, (bool)1, (cudnnKernelDataType_t)2>(…
     11.6       30,613,566      5,830   5,251.0   3,807.0     2,399    19,197      3,782.4  void cudnn::bn_fw_inf_1C11_kernel_NCHW<float, float, (bool)1, (int)1>(T2, T2, cudnnTensorStruct, co…
     10.5       27,827,730      1,430  19,460.0  18,845.0    15,069    29,371      3,938.5  void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_64x64_32x6_nn_align4>(T1::Params)                
      7.7       20,242,094      1,100  18,401.9  17,309.5    15,709    31,034      4,193.8  void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_128x64_16x6_nn_align4>(T1::Params)               
      5.6       14,673,520        220  66,697.8  66,196.5    55,702    78,259     10,522.2  void precomputed_convolve_sgemm<float, (int)1024, (int)5, (int)5, (int)4, (int)3, (int)3, (int)1, (…
      5.0       13,328,502      5,390   2,472.8   1,855.0     1,472    16,669      1,364.2  void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(a…
      5.0       13,231,964      1,760   7,518.2   4,015.5     2,687    35,386      6,706.4  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, at::deta…
      4.3       11,483,727        220  52,198.8  52,150.5    49,879    55,319      1,850.8  void implicit_convolve_sgemm<float, float, (int)128, (int)5, (int)5, (int)3, (int)3, (int)3, (int)1…
      3.9       10,249,234        330  31,058.3  31,035.0    30,874    32,507        127.3  cudnn_infer_ampere_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148n_nt_v1                            
      3.8        9,966,500        440  22,651.1  22,652.0    21,309    24,604        486.9  void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_256x64_16x4_nn_align4>(T1::Params)               
      2.5        6,587,556        330  19,962.3  19,933.0    19,612    20,508        188.9  void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_64x64_16x6_nn_align1>(T1::Params)                
      2.5        6,538,617        220  29,721.0  29,754.0    29,307    30,235        197.3  void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_64x64_32x6_nn_align1>(T1::Params)                
      1.3        3,391,178        110  30,828.9  30,778.0    30,330    32,602        354.9  std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, float, float, float, float, (bool…
      0.7        1,812,568        660   2,746.3   2,911.0     1,887     3,232        380.8  void splitKreduce_kernel<(int)32, (int)16, int, float, float, float, float, (bool)1, (bool)0, (bool…
      0.7        1,734,452        110  15,767.7  15,741.0    15,549    16,829        177.1  void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, long, long, long, …
      0.3          788,212        110   7,165.6   7,135.0     7,006     7,967        125.4  void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_64x64_16x6_nn_align4>(T1::Params)                
      0.3          759,793        330   2,302.4   2,272.0     2,207     2,911         83.8  void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWi…
      0.2          585,444        110   5,322.2   5,311.0     5,247     5,919         87.3  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<fl…
      0.2          465,533        220   2,116.1   2,031.5     1,663     2,656        445.3  void cudnn::cnn::kern_precompute_indices<(bool)0>(int *, int, int, int, int, int)                   
      0.1          207,065        110   1,882.4   1,887.0     1,855     2,464         62.9  void cublasLt::epilogue::impl::globalKernel<(int)8, (int)32, float, float, float, (bool)1, (bool)1,…

Processing [reports/pytorch_infer_profile.sqlite] with [/opt/nvidia/nsight-systems/2024.4.1/host-linux-x64/reports/cuda_gpu_mem_time_sum.py]... 

 ** CUDA GPU MemOps Summary (by Time) (cuda_gpu_mem_time_sum):

 Time (%)  Total Time (ns)  Count  Avg (ns)  Med (ns)  Min (ns)  Max (ns)   StdDev (ns)           Operation          
 --------  ---------------  -----  --------  --------  --------  ---------  -----------  ----------------------------
     95.9       15,730,299    321  49,004.0     512.0       415  1,424,809    192,367.7  [CUDA memcpy Host-to-Device]
      4.1          665,835  1,211     549.8     448.0       415      5,023        259.6  [CUDA memset]               

Processing [reports/pytorch_infer_profile.sqlite] with [/opt/nvidia/nsight-systems/2024.4.1/host-linux-x64/reports/cuda_gpu_mem_size_sum.py]... 

 ** CUDA GPU MemOps Summary (by Size) (cuda_gpu_mem_size_sum):

 Total (MB)  Count  Avg (MB)  Med (MB)  Min (MB)  Max (MB)  StdDev (MB)           Operation          
 ----------  -----  --------  --------  --------  --------  -----------  ----------------------------
    103.043    321     0.321     0.001     0.000     9.437        1.271  [CUDA memcpy Host-to-Device]
      0.247  1,211     0.000     0.000     0.000     0.008        0.000  [CUDA memset]               
