 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)      Med (ns)     Min (ns)    Max (ns)   StdDev (ns)   Style                                                Range                                              
 --------  ---------------  ---------  ------------  ------------  ----------  ----------  -----------  -------  ------------------------------------------------------------------------------------------------
     88.0    2,125,945,047        100  21,259,450.5  20,823,010.0  19,682,172  27,592,783  1,511,759.3  PushPop  TensorRT:ExecutionContext::execute                                                              
      3.2       78,350,132        112     699,554.8     697,933.5      27,658   1,031,779    103,559.9  PushPop  TensorRT:ExecutionContext::enqueue                                                              
      0.1        3,194,641        210      15,212.6      13,653.5       9,080      43,023      5,215.6  PushPop  TensorRT:/fc/Gemm                                                                               
      0.1        2,711,484        210      12,911.8       8,416.0       6,565      25,702      5,519.4  PushPop  TensorRT:/avgpool/GlobalAveragePool                                                             
      0.1        2,671,749        210      12,722.6      13,025.0      10,057      23,397      2,340.7  PushPop  TensorRT:/layer3/layer3.0/downsample/downsample.0/Conv                                          
      0.1        2,513,142        210      11,967.3      11,454.0       9,359      28,146      2,099.1  PushPop  TensorRT:/layer2/layer2.0/downsample/downsample.0/Conv                                          
      0.1        2,469,414        210      11,759.1      11,315.0       9,079      24,445      1,760.0  PushPop  TensorRT:/layer4/layer4.0/downsample/downsample.0/Conv                                          
      0.1        2,457,253        210      11,701.2      11,384.0       9,988      20,394      1,639.9  PushPop  TensorRT:/layer1/layer1.0/downsample/downsample.0/Conv                                          
      0.1        1,810,166        110      16,456.1      15,854.0      15,086      34,851      2,672.3  PushPop  TensorRT:Reformatting CopyNode for Input Tensor 0 to /conv1/Conv + /relu/Relu + /maxpool/MaxPool
      0.1        1,717,562        100      17,175.6      15,016.5      13,270     167,482     15,402.1  PushPop  TensorRT:/conv1/Conv                                                                            
      0.1        1,637,382        100      16,373.8      16,273.0      11,454      25,143      1,991.6  PushPop  TensorRT:/Flatten                                                                               
      0.1        1,632,774        100      16,327.7      15,819.5      12,432      28,146      2,568.2  PushPop  TensorRT:/layer3/layer3.0/conv2/Conv                                                            
      0.1        1,496,096        100      14,961.0      14,283.0      12,362      34,851      3,044.9  PushPop  TensorRT:/layer3/layer3.0/conv3/Conv                                                            
      0.1        1,494,759        100      14,947.6      11,768.0       9,499     302,836     29,118.6  PushPop  TensorRT:/maxpool/MaxPool                                                                       
      0.1        1,493,091        100      14,930.9      14,457.0      12,153      24,375      2,081.7  PushPop  TensorRT:/layer3/layer3.1/conv1/Conv                                                            
      0.1        1,482,893        100      14,828.9      14,492.5      11,734      28,705      2,045.6  PushPop  TensorRT:/layer4/layer4.0/conv3/Conv                                                            
      0.1        1,455,794        100      14,557.9      13,689.0      12,292      26,470      2,744.9  PushPop  TensorRT:/layer1/layer1.1/conv1/Conv                                                            
      0.1        1,423,601        110      12,941.8      10,477.0       9,498     258,556     23,661.7  PushPop  TensorRT:/layer4/layer4.0/conv2/Conv + /layer4/layer4.0/relu_1/Relu                             
      0.1        1,405,081        100      14,050.8      13,479.5      12,013      26,191      2,203.5  PushPop  TensorRT:/layer1/layer1.0/conv1/Conv                                                            
      0.1        1,395,799        100      13,958.0      13,270.0      12,431      26,610      2,531.8  PushPop  TensorRT:/layer1/layer1.1/Add                                                                   
      0.1        1,383,929        100      13,839.3      13,480.0      12,013      20,674      1,340.1  PushPop  TensorRT:/layer1/layer1.0/Add                                                                   
      0.1        1,377,153        100      13,771.5      13,270.0      11,943      27,518      2,334.6  PushPop  TensorRT:/layer3/layer3.1/Add                                                                   
      0.1        1,376,662        100      13,766.6      13,270.0      11,874      27,728      2,202.5  PushPop  TensorRT:/layer2/layer2.2/Add                                                                   
      0.1        1,372,890        100      13,728.9      13,270.0      12,292      22,908      1,819.3  PushPop  TensorRT:/layer2/layer2.1/Add                                                                   
      0.1        1,372,831        100      13,728.3      13,235.5      11,943      26,191      2,069.7  PushPop  TensorRT:/layer1/layer1.2/Add                                                                   
      0.1        1,364,781        100      13,647.8      13,270.0      11,594      24,724      2,032.7  PushPop  TensorRT:/layer4/layer4.1/Add                                                                   
      0.1        1,363,118        100      13,631.2      13,339.0      11,804      19,905      1,495.6  PushPop  TensorRT:/layer2/layer2.3/Add                                                                   
      0.1        1,362,411        100      13,624.1      13,270.0      12,013      20,953      1,427.5  PushPop  TensorRT:(Unnamed Layer* 125) [ElementWise]                                                     
      0.1        1,362,270        100      13,622.7      12,536.5      11,384      29,125      3,144.1  PushPop  TensorRT:/layer3/layer3.1/conv3/Conv                                                            
      0.1        1,361,504        100      13,615.0      13,200.0      11,873      20,953      1,608.5  PushPop  TensorRT:/layer3/layer3.0/Add                                                                   
      0.1        1,358,008        100      13,580.1      13,200.0      11,314      29,613      2,231.0  PushPop  TensorRT:/layer4/layer4.2/Add                                                                   
      0.1        1,355,359        100      13,553.6      13,270.0      10,826      22,908      1,717.9  PushPop  TensorRT:/layer3/layer3.3/Add                                                                   
      0.1        1,351,311        100      13,513.1      12,921.0      10,965      30,870      2,749.9  PushPop  TensorRT:/layer2/layer2.0/conv2/Conv                                                            
      0.1        1,348,371        100      13,483.7      13,270.0      11,524      20,044      1,376.8  PushPop  TensorRT:/layer2/layer2.0/Add                                                                   
      0.1        1,348,098        100      13,481.0      12,991.0      11,315      28,146      2,184.1  PushPop  TensorRT:/layer3/layer3.4/conv1/Conv                                                            
      0.1        1,347,402        100      13,474.0      12,990.0      10,965      19,765      1,709.9  PushPop  TensorRT:/layer4/layer4.0/conv1/Conv                                                            
      0.1        1,346,003        100      13,460.0      12,781.0      11,873      30,032      2,763.8  PushPop  TensorRT:/layer3/layer3.1/conv2/Conv                                                            
      0.1        1,345,502        100      13,455.0      12,990.0      11,315      24,863      2,144.9  PushPop  TensorRT:/layer4/layer4.0/conv2/Conv                                                            
      0.1        1,342,787        100      13,427.9      13,200.5      11,524      20,883      1,306.3  PushPop  TensorRT:/layer3/layer3.5/Add                                                                   
      0.1        1,333,981        100      13,339.8      13,201.0      11,803      19,765        932.4  PushPop  TensorRT:/layer3/layer3.2/Add                                                                   
      0.1        1,333,564        100      13,335.6      12,851.0      10,895      23,397      1,988.3  PushPop  TensorRT:/layer4/layer4.1/conv1/Conv                                                            
      0.1        1,332,453        100      13,324.5      12,920.0      10,477      23,048      1,972.0  PushPop  TensorRT:/layer4/layer4.2/conv2/Conv                                                            
      0.1        1,329,941        100      13,299.4      12,885.5      11,455      29,124      2,064.3  PushPop  TensorRT:/layer3/layer3.3/conv2/Conv                                                            
      0.1        1,326,238        100      13,262.4      12,921.0      11,524      19,626      1,225.0  PushPop  TensorRT:/layer1/layer1.0/conv2/Conv                                                            
      0.1        1,325,749        100      13,257.5      12,571.5      11,244      44,280      3,795.8  PushPop  TensorRT:/layer3/layer3.5/conv3/Conv                                                            
      0.1        1,325,538        100      13,255.4      12,781.5      10,966      29,124      2,134.8  PushPop  TensorRT:/layer4/layer4.2/conv1/Conv                                                            
      0.1        1,324,905        100      13,249.1      13,201.0      11,943      17,391        608.0  PushPop  TensorRT:/layer4/layer4.0/Add                                                                   
      0.1        1,324,561        100      13,245.6      12,921.0      11,314      20,324      1,538.8  PushPop  TensorRT:/layer3/layer3.2/conv1/Conv                                                            
      0.1        1,320,504        100      13,205.0      12,362.0      10,476      26,889      2,711.2  PushPop  TensorRT:/layer2/layer2.3/conv1/Conv                                                            
      0.1        1,316,598        110      11,969.1      11,558.5       9,358      23,467      1,869.4  PushPop  TensorRT:/layer1/layer1.0/conv1/Conv + /layer1/layer1.0/relu/Relu                               
      0.1        1,314,993        100      13,149.9      12,851.0      11,733      20,115      1,378.5  PushPop  TensorRT:/layer3/layer3.3/conv3/Conv                                                            
      0.1        1,312,764        100      13,127.6      12,991.0      12,013      16,971        512.4  PushPop  TensorRT:/layer3/layer3.4/Add                                                                   
      0.1        1,310,521        100      13,105.2      12,223.0      10,825      26,679      2,651.7  PushPop  TensorRT:/layer2/layer2.0/conv1/Conv                                                            
      0.1        1,309,262        100      13,092.6      12,362.0      10,476      27,378      2,887.5  PushPop  TensorRT:/layer1/layer1.2/conv1/Conv                                                            
      0.1        1,306,053        100      13,060.5      12,781.0      11,105      21,511      1,423.8  PushPop  TensorRT:/layer3/layer3.4/conv2/Conv                                                            
      0.1        1,305,698        100      13,057.0      12,781.0      10,896      26,889      1,790.8  PushPop  TensorRT:/layer4/layer4.1/conv3/Conv                                                            
      0.1        1,304,723        100      13,047.2      12,781.0      11,035      22,420      1,651.4  PushPop  TensorRT:/layer3/layer3.2/conv3/Conv                                                            
      0.1        1,304,304        100      13,043.0      12,851.0      11,454      19,136      1,211.4  PushPop  TensorRT:/layer3/layer3.5/conv2/Conv                                                            
      0.1        1,304,158        100      13,041.6      12,292.0      10,616      23,397      2,458.1  PushPop  TensorRT:/layer3/layer3.0/conv1/Conv                                                            
      0.1        1,302,906        100      13,029.1      12,292.5      10,895      42,953      3,448.5  PushPop  TensorRT:/layer2/layer2.2/conv3/Conv                                                            
      0.1        1,301,090        100      13,010.9      12,642.0      11,175      22,000      1,574.3  PushPop  TensorRT:/layer3/layer3.3/conv1/Conv                                                            
      0.1        1,300,253        100      13,002.5      12,502.0      11,314      25,074      1,930.1  PushPop  TensorRT:/layer4/layer4.1/conv2/Conv                                                            
      0.1        1,297,814        100      12,978.1      12,781.0      11,105      20,115      1,373.9  PushPop  TensorRT:/layer4/layer4.2/conv3/Conv                                                            
      0.1        1,297,320        100      12,973.2      12,293.0      11,315      29,124      2,537.4  PushPop  TensorRT:/layer1/layer1.1/conv3/Conv                                                            
      0.1        1,296,834        100      12,968.3      12,362.5      10,965      19,975      1,856.1  PushPop  TensorRT:/layer2/layer2.3/conv3/Conv                                                            
      0.1        1,293,202        100      12,932.0      12,711.0      11,104      20,045      1,356.5  PushPop  TensorRT:/layer3/layer3.5/conv1/Conv                                                            
      0.1        1,291,590        100      12,915.9      12,187.0      10,896      33,873      2,963.2  PushPop  TensorRT:/layer1/layer1.1/conv2/Conv                                                            
      0.1        1,289,215        100      12,892.2      12,536.5      10,407      32,127      2,141.5  PushPop  TensorRT:/layer3/layer3.2/conv2/Conv                                                            
      0.1        1,281,679        100      12,816.8      12,362.0      10,896      20,115      1,836.5  PushPop  TensorRT:/layer2/layer2.0/conv3/Conv                                                            
      0.1        1,277,974        100      12,779.7      12,222.0      10,895      25,772      2,205.0  PushPop  TensorRT:/layer1/layer1.2/conv3/Conv                                                            
      0.1        1,275,388        100      12,753.9      12,502.0      11,733      19,765        977.8  PushPop  TensorRT:/layer3/layer3.4/conv3/Conv                                                            
      0.1        1,272,880        100      12,728.8      12,013.0      10,616      23,746      2,189.7  PushPop  TensorRT:/layer2/layer2.1/conv1/Conv                                                            
